N,Suma inferior,Residuo inferior,Error absoluto inferior,Suma superior,Residuo superior,Error absoluto superior
10,2.637049,-0.504544,0.504544,3.437049,0.295456,0.295456
20,2.904518,-0.237074,0.237074,3.304518,0.162926,0.162926
30,2.988058,-0.153535,0.153535,3.254725,0.113132,0.113132
40,3.028465,-0.113128,0.113128,3.228465,0.086872,0.086872
50,3.052196,-0.089396,0.089396,3.212196,0.070604,0.070604
60,3.067776,-0.073816,0.073816,3.201110,0.059517,0.059517
70,3.078775,-0.062817,0.062817,3.193061,0.051468,0.051468
80,3.086948,-0.054645,0.054645,3.186948,0.045355,0.045355
90,3.093255,-0.048337,0.048337,3.182144,0.040551,0.040551
100,3.098269,-0.043324,0.043324,3.178269,0.036676,0.036676
