N,Suma inferior,Residuo inferior,Error absoluto inferior,Suma superior,Residuo superior,Error absoluto superior
1000,3.137487477002141,-0.004105176587652082,0.004105176587652082,3.1454874770021406,0.003894823412347481,0.003894823412347481
2000,3.1395554669110277,-0.0020371866787654014,0.0020371866787654014,3.1435554669110273,0.001962813321234158,0.001962813321234158
3000,3.1402390781856315,-0.0013535754041615888,0.0013535754041615888,3.142905744852298,0.0013130912625047841,0.0013130912625047841
4000,3.1405795059119654,-0.001013147677827675,0.001013147677827675,3.142579505911965,0.0009868523221721048,0.0009868523221721048
5000,3.1407832458485228,-0.0008094077412703626,0.0008094077412703626,3.142383245848523,0.0007905922587299052,0.0007905922587299052
6000,3.1409188301972417,-0.0006738233925513981,0.0006738233925513981,3.142252163530575,0.0006595099407817884,0.0006595099407817884
7000,3.141015545718071,-0.000577107871722049,0.000577107871722049,3.142158402860928,0.0005657492711348411,0.0005657492711348411
8000,3.141088005148103,-0.0005046484416899588,0.0005046484416899588,3.1420880051481035,0.0004953515583103751,0.0004953515583103751
9000,3.141144313503939,-0.00044834008585414864,0.00044834008585414864,3.1420332023928284,0.00044054880303523447,0.00044054880303523447
10000,3.141189327430582,-0.0004033261592111259,0.0004033261592111259,3.141989327430582,0.000396673840788786,0.000396673840788786
