N,Suma inferior,Residuo inferior,Error absoluto inferior,Suma superior,Residuo superior,Error absoluto superior
10,2.637049,-0.504544,0.504544,3.437049,0.295456,0.295456
20,2.904518,-0.237074,0.237074,3.304518,0.162926,0.162926
30,2.988058,-0.153535,0.153535,3.254725,0.113132,0.113132
40,3.028465,-0.113128,0.113128,3.228465,0.086872,0.086872
50,3.052196,-0.089396,0.089396,3.212196,0.070604,0.070604
60,3.067776,-0.073816,0.073816,3.201110,0.059517,0.059517
70,3.078775,-0.062817,0.062817,3.193061,0.051468,0.051468
80,3.086948,-0.054645,0.054645,3.186948,0.045355,0.045355
90,3.093255,-0.048337,0.048337,3.182144,0.040551,0.040551
100,3.098269,-0.043324,0.043324,3.178269,0.036676,0.036676
200,3.120417,-0.021176,0.021176,3.160417,0.018824,0.018824
300,3.127619,-0.013973,0.013973,3.154286,0.012693,0.012693
400,3.131177,-0.010416,0.010416,3.151177,0.009584,0.009584
500,3.133295,-0.008297,0.008297,3.149295,0.007703,0.007703
600,3.134700,-0.006893,0.006893,3.148033,0.006440,0.006440
700,3.135699,-0.005894,0.005894,3.147127,0.005535,0.005535
800,3.136446,-0.005147,0.005147,3.146446,0.004853,0.004853
900,3.137025,-0.004568,0.004568,3.145914,0.004321,0.004321
1000,3.137487,-0.004105,0.004105,3.145487,0.003895,0.003895
2000,3.139555,-0.002037,0.002037,3.143555,0.001963,0.001963
3000,3.140239,-0.001354,0.001354,3.142906,0.001313,0.001313
4000,3.140580,-0.001013,0.001013,3.142580,0.000987,0.000987
5000,3.140783,-0.000809,0.000809,3.142383,0.000791,0.000791
6000,3.140919,-0.000674,0.000674,3.142252,0.000660,0.000660
7000,3.141016,-0.000577,0.000577,3.142158,0.000566,0.000566
8000,3.141088,-0.000505,0.000505,3.142088,0.000495,0.000495
9000,3.141144,-0.000448,0.000448,3.142033,0.000441,0.000441
10000,3.141189,-0.000403,0.000403,3.141989,0.000397,0.000397
