N,Aprox equiespaciada,Residuo equiespaciada,Error absoluto equiespaciada,Aprox aleatoria,Residuo aleatoria,Error absoluto aleatoria,Aprox coseno,Residuo coseno,Error absoluto coseno
1000,3.145487,0.003895,0.003895,3.149654,0.008061,0.008061,3.144729,0.003136,0.003136
2000,3.143555,0.001963,0.001963,3.145286,0.003693,0.003693,3.143162,0.001570,0.001570
3000,3.142906,0.001313,0.001313,3.144148,0.002555,0.002555,3.142639,0.001047,0.001047
4000,3.142580,0.000987,0.000987,3.143593,0.002000,0.002000,3.142378,0.000785,0.000785
5000,3.142383,0.000791,0.000791,3.143162,0.001569,0.001569,3.142221,0.000628,0.000628
6000,3.142252,0.000660,0.000660,3.142852,0.001259,0.001259,3.142116,0.000523,0.000523
7000,3.142158,0.000566,0.000566,3.142759,0.001166,0.001166,3.142041,0.000449,0.000449
8000,3.142088,0.000495,0.000495,3.142529,0.000937,0.000937,3.141985,0.000393,0.000393
9000,3.142033,0.000441,0.000441,3.142455,0.000862,0.000862,3.141942,0.000349,0.000349
10000,3.141989,0.000397,0.000397,3.142394,0.000801,0.000801,3.141907,0.000314,0.000314
