N,Aprox equiespaciada,Residuo equiespaciada,Error absoluto equiespaciada,Aprox aleatoria,Residuo aleatoria,Error absoluto aleatoria,Aprox coseno,Residuo coseno,Error absoluto coseno
10,3.437049,0.295456,0.295456,3.494277,0.352684,0.352684,3.406939,0.265346,0.265346
20,3.304518,0.162926,0.162926,3.339687,0.198094,0.198094,3.286093,0.144500,0.144500
30,3.254725,0.113132,0.113132,3.324635,0.183042,0.183042,3.240669,0.099077,0.099077
40,3.228465,0.086872,0.086872,3.264213,0.122620,0.122620,3.216944,0.075351,0.075351
50,3.212196,0.070604,0.070604,3.256247,0.114654,0.114654,3.202379,0.060786,0.060786
60,3.201110,0.059517,0.059517,3.238673,0.097080,0.097080,3.192529,0.050937,0.050937
70,3.193061,0.051468,0.051468,3.235095,0.093502,0.093502,3.185426,0.043833,0.043833
80,3.186948,0.045355,0.045355,3.209079,0.067486,0.067486,3.180060,0.038468,0.038468
90,3.182144,0.040551,0.040551,3.216066,0.074473,0.074473,3.175865,0.034272,0.034272
100,3.178269,0.036676,0.036676,3.221728,0.080135,0.080135,3.172494,0.030902,0.030902
200,3.160417,0.018824,0.018824,3.175766,0.034173,0.034173,3.157172,0.015579,0.015579
300,3.154286,0.012693,0.012693,3.166220,0.024627,0.024627,3.152007,0.010415,0.010415
400,3.151177,0.009584,0.009584,3.161709,0.020117,0.020117,3.149414,0.007822,0.007822
500,3.149295,0.007703,0.007703,3.156512,0.014920,0.014920,3.147855,0.006263,0.006263
600,3.148033,0.006440,0.006440,3.153882,0.012289,0.012289,3.146814,0.005222,0.005222
700,3.147127,0.005535,0.005535,3.151706,0.010113,0.010113,3.146070,0.004477,0.004477
800,3.146446,0.004853,0.004853,3.150174,0.008582,0.008582,3.145512,0.003919,0.003919
900,3.145914,0.004321,0.004321,3.150980,0.009387,0.009387,3.145077,0.003484,0.003484
1000,3.145487,0.003895,0.003895,3.148784,0.007191,0.007191,3.144729,0.003136,0.003136
2000,3.143555,0.001963,0.001963,3.145575,0.003982,0.003982,3.143162,0.001570,0.001570
3000,3.142906,0.001313,0.001313,3.144200,0.002608,0.002608,3.142639,0.001047,0.001047
4000,3.142580,0.000987,0.000987,3.143453,0.001860,0.001860,3.142378,0.000785,0.000785
5000,3.142383,0.000791,0.000791,3.143103,0.001510,0.001510,3.142221,0.000628,0.000628
6000,3.142252,0.000660,0.000660,3.142919,0.001327,0.001327,3.142116,0.000523,0.000523
7000,3.142158,0.000566,0.000566,3.142737,0.001144,0.001144,3.142041,0.000449,0.000449
8000,3.142088,0.000495,0.000495,3.142563,0.000971,0.000971,3.141985,0.000393,0.000393
9000,3.142033,0.000441,0.000441,3.142431,0.000838,0.000838,3.141942,0.000349,0.000349
10000,3.141989,0.000397,0.000397,3.142370,0.000777,0.000777,3.141907,0.000314,0.000314
