N,Rectangulos,Residuo Rectangulos,Trapecio,Residuo Trapecio,Punto medio,Residuo Punto medio
1000,3.141487,-0.000105,3.141487,-0.000105,3.141623,0.000031
2000,3.141555,-0.000037,3.141555,-0.000037,3.141604,0.000011
3000,3.141572,-0.000020,3.141572,-0.000020,3.141599,0.000006
4000,3.141580,-0.000013,3.141580,-0.000013,3.141597,0.000004
5000,3.141583,-0.000009,3.141583,-0.000009,3.141595,0.000003
6000,3.141585,-0.000007,3.141585,-0.000007,3.141595,0.000002
7000,3.141587,-0.000006,3.141587,-0.000006,3.141594,0.000002
8000,3.141588,-0.000005,3.141588,-0.000005,3.141594,0.000001
9000,3.141589,-0.000004,3.141589,-0.000004,3.141594,0.000001
10000,3.141589,-0.000003,3.141589,-0.000003,3.141594,0.000001
